brandName_0_lang,brandName_0_value,brandName_1_lang,brandName_1_value,brandName_2_lang,brandName_2_value,gpcCode,gtin,netContent_0_measurementUnitCode,netContent_0_quantity,netContent_1_measurementUnitCode,netContent_1_quantity,netContent_2_measurementUnitCode,netContent_2_quantity,netContent_3_measurementUnitCode,netContent_3_quantity,netContent_4_measurementUnitCode,netContent_4_quantity,status,targetMarketCountryCode_0,targetMarketCountryCode_1,targetMarketCountryCode_2,tradeItemDescription_0_lang,tradeItemDescription_0_value,tradeItemDescription_1_lang,tradeItemDescription_1_value,tradeItemDescription_2_lang,tradeItemDescription_2_value,tradeItemImageUrl_0_lang,tradeItemImageUrl_0_value,tradeItemImageUrl_1_lang,tradeItemImageUrl_1_value,tradeItemImageUrl_2_lang,tradeItemImageUrl_2_value
en-US,Pantene,,,,,10000368,00080878184354,OZA,38.2,MLT,1130,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Classic Clean 2in1 Shampoo & Conditioner, 38.2 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80293144_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878184361,OZA,38.2,MLT,1130,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Advanced Care Shampoo, 38.2 fl oz with Pump",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80319203_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878184378,OZA,38.2,MLT,1130,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Advanced Care Conditioner, 38.2 fl oz with Pump",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80319204_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878184781,OZA,12.6,MLT,375,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Micellar Revitalize Shampoo, 12.6 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80301461_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878184798,OZA,12,MLT,355,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Micellar Revitalize Conditioner, 12 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80301462_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878184958,ONZ,6,GRM,170,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Sheer Volume Foam Conditioner, 6 oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80301620_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878185191,OZA,8.5,MLT,252,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Gold Series Sulfate Free Shampoo, 8.5 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80302743_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878185207,ONZ,6,GRM,170,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Gold Series Shine Cream, 6.0 oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80302744_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878185245,OZA,2.5,MLT,75,,,,,,,ACTIVE,US,,,en-US,"Pantene Daily Moisture Renewal 3 Minute Miracle Daily Conditioner, 2.5 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80302752_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878185276,ONZ,4.9,GRM,140,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Sheer Volume Dry Shampoo to Refresh Hair & Add Fullness without Washing, 4.9 oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80319728_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878186051,OZA,12.6,MLT,375,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Moisture Therapy Shampoo, 12.6 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80306775_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878186068,OZA,12,MLT,355,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Moisture Therapy Conditioner, 12 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80306776_master_preview,,,,
